"","data_apr21_mar22_V2$member_casual","data_apr21_mar22_V2$day_of_week","data_apr21_mar22_V2$ride_length"
"1","casual","Friday",1797.8951430432
"2","member","Friday",781.366979523148
"3","casual","Monday",1875.41854689038
"4","member","Monday",751.541130519939
"5","casual","Saturday",2055.40842041801
"6","member","Saturday",882.376734767369
"7","casual","Sunday",2227.0226551918
"8","member","Sunday",884.527365338926
"9","casual","Thursday",1651.80501661887
"10","member","Thursday",729.395636008995
"11","casual","Tuesday",1623.35408921933
"12","member","Tuesday",713.862316877363
"13","casual","Wednesday",1640.32490521401
"14","member","Wednesday",725.62920022992
